# 					FLOOR 		HOLE 
# TIME 	SPEED 		MIN	 MAX	MIN	MAX
0.0 	5.0 		13 	15		3	5
10.0 	7.0			11 	13		4	6
20.0 	9.0 		9 	11		5	7 
30.0 	11.0 		7	9		6	8
50.0 	13.0 		5 	7		7	9
60.0	15.0		5	7		8	10

70.0 	7.0 		13 	15		4	6
80.0 	9.0			11 	13		5	7
90.0 	11.0 		9 	11		6	8 
100.0 	13.0 		7	9		7	9
110.0 	15.0 		5 	7		8	10
120.0	17.0		5	7		9	11

130.0 	9.0 		13 	15		3	5
140.0 	11.0		11 	13		4	6
150.0 	13.0 		9 	11		6	8 
160.0 	15.0 		7	9		8	9
170.0 	17.0 		5 	7		10	12
180.0	19.0		5	7		10	12

190.0 	11.0 		13 	15		4	6
200.0 	13.0		11 	13		5	7
210.0 	15.0 		9 	11		7	9 
220.0 	17.0 		7	9		9	10
230.0 	19.0 		5 	7		11	13
240.0	21.0		5	7		11	13

250.0 	13.0 		13 	15		4	6
260.0 	15.0		11 	13		5	7
270.0 	17.0 		9 	11		7	9 
280.0 	19.0 		7	9		9	10
290.0 	21.0 		5 	7		11	13
300.0	23.0		5	7		11	13

310.0 	13.0 		13 	15		4	6
320.0 	15.0		11 	13		5	7
330.0 	17.0 		9 	11		7	9 
340.0 	19.0 		7	9		9	10
350.0 	21.0 		5 	7		11	13
360.0	23.0		5	7		11	13

370.0 	15.0 		13 	15		5	7
380.0 	17.0		11 	13		6	8
390.0 	19.0 		9 	11		8	10 
400.0 	21.0 		23	25		10	11
410.0 	23.0 		21 	23		12	14
420.0	25.0		19	21		12	14

430.0 	17.0 		29 	31		5	7
440.0 	19.0		27 	29		6	8
450.0 	21.0 		23 	25		8	10 
460.0 	23.0 		21	23		10	11
470.0 	25.0 		19 	21		12	14
480.0	27.0		17	19		12	14

490.0 	19.0 		25 	27		5	7
500.0 	21.0		23 	25		6	8
510.0 	23.0 		21 	23		8	10 
520.0 	25.0 		19	21		10	11
530.0 	27.0 		17 	19		12	14
540.0	29.0		15	17		12	14

550.0 	21.0 		23 	25		6	8
560.0 	23.0		21 	23		7	9
570.0 	25.0 		19 	21		9	11 
580.0 	27.0 		17	19		11	12
590.0 	29.0 		15 	17		13	15
600.0	31.0		13	15		13	15
