# 			FLOOR 		HOLE 
# TIME		MIN	 MAX	MIN	MAX
0.0			16 	18		9	11
10.0		15 	17		8	10
20.0		14 	16		7	9 
30.0		17	19		6	8
50.0		16 	18		5	7
60.0		15	17		4	6

70.0		5 	7		10	12
80.0		7 	9		8	9
90.0		9 	11		6	8 
100.0		11	13		4	6
110.0		13 	15		3	5
120.0		13	15		3	5

130.0		5 	7		10	12
140.0		7 	9		8	9
150.0		9 	11		6	8 
160.0		11	13		4	6
170.0		13 	15		3	5
180.0		13	15		3	5

190.0		5	7		11	13
200.0		7	9		9	10
210.0		9	11		7	9
220.0		11	13		5	7
230.0		13	15		4	6
240.0		13	15		4	6

250.0		5	7		11	13
260.0		7	9		9	10
270.0		9	11		7	9
280.0		11	13		5	7
290.0		13	15		4	6
300.0		13	15		4	6

310.0		5	7		11	13
320.0		7	9		9	10
330.0		9	11		7	9
340.0		11	13		5	7
350.0		13	15		4	6
360.0		13	15		4	6

370.0		5	7		12	14
380.0		7	9		10	11
390.0		9	11		8	10
400.0		11	13		6	8
410.0		13	15		5	7
420.0		13	15		5	7

430.0		5	7		12	14
440.0		7	9		10	11
450.0		9	11		8	10
460.0		11	13		6	8
470.0		13	15		5	7
480.0		13	15		5	7

490.0		5	7		12	14
500.0		7	9		10	11
510.0		9	11		8	10
520.0		11	13		6	8
530.0		13	15		5	7
540.0		13	15		5	7

550.0		5	7		13	15
560.0		7	9		11	12
570.0		9	11		9	11
580.0		11	13		7	9
590.0		13	15		6	8
600.0		13	15		6	8
